Designator,Mid X,Mid Y,Rotation,Layer
BT1,157.841651,-92.633668,0.0,bottom
D1,168.606117185637,-112.8843741536745,80.0,top
D2,147.826651,-106.863668,90.0,top
D3,129.72679826280623,-95.998669,330.0,top
R1,181.86435593459268,-103.63366758432495,121.0,top
R2,140.69781962167082,-108.37591985814315,99.5,top
R3,118.39314433147395,-103.32424871854586,269.0,top
SW1,152.5508604234517,-122.66517870057025,278.0,top
SW2,130.8266529446073,-123.13366800349017,182.0,top
